,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,date,circuitRef,location,country,constructorRef,nationality_y,position_quali
0,1,18,1,1,1,1,1,10.0,58,01:27.5,218.3,Finished,hamilton,1/7/1985,British,2008,1,3/16/2008,albert_park,Melbourne,Australia,mclaren,British,1.0
1,5,18,5,1,3,5,5,4.0,58,01:27.4,218.385,Finished,kovalainen,10/19/1981,Finnish,2008,1,3/16/2008,albert_park,Melbourne,Australia,mclaren,British,3.0
2,371,36,1,1,4,3,3,6.0,58,01:26.4,221.083,Finished,hamilton,1/7/1985,British,2007,1,3/18/2007,albert_park,Melbourne,Australia,mclaren,British,4.0
3,370,36,4,1,2,2,2,8.0,58,01:26.3,221.178,Finished,alonso,7/29/1981,Spanish,2007,1,3/18/2007,albert_park,Melbourne,Australia,mclaren,British,2.0
4,20352,338,1,1,11,6,6,8.0,58,01:28.5,215.7,Finished,hamilton,1/7/1985,British,2010,2,3/28/2010,albert_park,Melbourne,Australia,mclaren,British,11.0
5,20347,338,18,1,4,1,1,25.0,58,01:29.3,213.804,Finished,button,1/19/1980,British,2010,2,3/28/2010,albert_park,Melbourne,Australia,mclaren,British,4.0
6,20780,841,1,1,2,2,2,18.0,58,01:30.3,211.382,Finished,hamilton,1/7/1985,British,2011,1,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,2.0
7,20784,841,18,1,4,6,6,8.0,58,01:29.9,212.396,Finished,button,1/19/1980,British,2011,1,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,4.0
8,21234,860,1,1,1,3,3,15.0,58,01:29.5,213.214,Finished,hamilton,1/7/1985,British,2012,1,3/18/2012,albert_park,Melbourne,Australia,mclaren,British,1.0
9,21232,860,18,1,2,1,1,25.0,58,01:29.2,214.053,Finished,button,1/19/1980,British,2012,1,3/18/2012,albert_park,Melbourne,Australia,mclaren,British,2.0
10,21720,880,18,1,10,9,9,2.0,58,01:30.2,211.654,Finished,button,1/19/1980,British,2013,1,3/17/2013,albert_park,Melbourne,Australia,mclaren,British,10.0
11,21722,880,815,1,15,11,11,0.0,58,01:29.9,212.294,Finished,perez,1/26/1990,Mexican,2013,1,3/17/2013,albert_park,Melbourne,Australia,mclaren,British,15.0
12,22548,926,18,1,16,11,11,0.0,56,01:33.3,204.534,+2 Laps,button,1/19/1980,British,2015,1,3/15/2015,albert_park,Melbourne,Australia,mclaren,British,17.0
13,22554,926,825,1,17,W,17,0.0,0,\N,\N,Withdrew,kevin_magnussen,10/5/1992,Danish,2015,1,3/15/2015,albert_park,Melbourne,Australia,mclaren,British,18.0
14,22937,948,4,1,11,R,21,0.0,16,01:32.6,206.268,Collision,alonso,7/29/1981,Spanish,2016,1,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,12.0
15,22930,948,18,1,12,14,14,0.0,56,01:31.7,208.223,+1 Lap,button,1/19/1980,British,2016,1,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,13.0
16,23392,969,4,1,12,R,14,0.0,50,01:30.1,211.938,Vibrations,alonso,7/29/1981,Spanish,2017,1,3/26/2017,albert_park,Melbourne,Australia,mclaren,British,13.0
17,23391,969,838,1,18,13,13,0.0,55,01:29.4,213.448,+2 Laps,vandoorne,3/26/1992,Belgian,2017,1,3/26/2017,albert_park,Melbourne,Australia,mclaren,British,18.0
