,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,name_x,date,circuitRef,location,country,constructorRef,nationality_y,position_quali,stop,lap,milliseconds,name_x,clusters,name_y,weather,SC Laps
0,22548,926,18,1,16,11,11,0.0,56,01:33.3,204.534,+2 Laps,button,1/19/1980,British,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,mclaren,British,17.0,1,27,23353,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
1,22541,926,13,3,3,4,4,12.0,58,01:31.7,208.144,Finished,massa,4/25/1981,Brazilian,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,williams,British,3.0,1,21,22062,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
2,22549,926,8,6,5,R,12,0.0,40,01:31.4,208.811,Wheel,raikkonen,10/17/1979,Finnish,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,ferrari,Italian,5.0,1,16,27465,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
3,22549,926,8,6,5,R,12,0.0,40,01:31.4,208.811,Wheel,raikkonen,10/17/1979,Finnish,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,ferrari,Italian,5.0,2,40,22405,Australian Grand Prix,2,Australian Grand Prix,Dry,3.0
4,22540,926,20,6,4,3,3,15.0,58,01:31.5,208.74,Finished,vettel,7/3/1987,German,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,ferrari,Italian,4.0,1,24,22694,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
5,22543,926,817,9,6,6,6,8.0,57,01:32.8,205.726,+1 Lap,ricciardo,7/1/1989,Australian,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,red_bull,Austrian,7.0,1,23,22535,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
6,22546,926,832,5,7,9,9,2.0,57,01:32.9,205.56,+1 Lap,sainz,9/1/1994,Spanish,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,toro_rosso,Italian,8.0,1,24,55789,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
7,22544,926,807,10,13,7,7,6.0,57,01:32.0,207.576,+1 Lap,hulkenberg,8/19/1987,German,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,force_india,Indian,14.0,1,21,22137,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
8,22544,926,807,10,13,7,7,6.0,57,01:32.0,207.576,+1 Lap,hulkenberg,8/19/1987,German,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,force_india,Indian,14.0,2,44,21612,Australian Grand Prix,1,Australian Grand Prix,Dry,3.0
9,22547,926,815,10,14,10,10,1.0,57,01:32.0,207.601,+1 Lap,perez,1/26/1990,Mexican,2015,1,Australian Grand Prix,3/15/2015,albert_park,Melbourne,Australia,force_india,Indian,15.0,1,38,26009,Australian Grand Prix,3,Australian Grand Prix,Dry,3.0
