,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,name_x,date,circuitRef,location,country,constructorRef,nationality_y,position_quali,stop,lap,milliseconds,name,weather,SC Laps
0,20780,841,1,1,2,2,2,18.0,58,01:30.3,211.382,Finished,hamilton,1/7/1985,British,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,2.0,1,16,23227,Australian Grand Prix,Dry,
1,20780,841,1,1,2,2,2,18.0,58,01:30.3,211.382,Finished,hamilton,1/7/1985,British,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,2.0,2,36,23199,Australian Grand Prix,Dry,
2,20784,841,18,1,4,6,6,8.0,58,01:29.9,212.396,Finished,button,1/19/1980,British,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,4.0,1,17,16867,Australian Grand Prix,Dry,
3,20784,841,18,1,4,6,6,8.0,58,01:29.9,212.396,Finished,button,1/19/1980,British,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,4.0,2,19,23303,Australian Grand Prix,Dry,
4,20784,841,18,1,4,6,6,8.0,58,01:29.9,212.396,Finished,button,1/19/1980,British,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,4.0,3,37,22681,Australian Grand Prix,Dry,
5,20794,841,22,3,17,R,16,0.0,48,01:31.4,208.861,Transmission,barrichello,5/23/1972,Brazilian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,williams,British,17.0,1,13,23643,Australian Grand Prix,Dry,
6,20794,841,22,3,17,R,16,0.0,48,01:31.4,208.861,Transmission,barrichello,5/23/1972,Brazilian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,williams,British,17.0,2,23,37856,Australian Grand Prix,Dry,
7,20794,841,22,3,17,R,16,0.0,48,01:31.4,208.861,Transmission,barrichello,5/23/1972,Brazilian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,williams,British,17.0,3,28,16892,Australian Grand Prix,Dry,
8,20794,841,22,3,17,R,16,0.0,48,01:31.4,208.861,Transmission,barrichello,5/23/1972,Brazilian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,williams,British,17.0,4,40,26309,Australian Grand Prix,Dry,
9,20790,841,2,4,18,12,12,0.0,57,01:32.4,206.661,+1 Lap,heidfeld,5/10/1977,German,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,renault,French,18.0,1,15,22994,Australian Grand Prix,Dry,
10,20790,841,2,4,18,12,12,0.0,57,01:32.4,206.661,+1 Lap,heidfeld,5/10/1977,German,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,renault,French,18.0,2,30,25098,Australian Grand Prix,Dry,
11,20781,841,808,4,6,3,3,15.0,58,01:30.1,211.969,Finished,petrov,9/8/1984,Russian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,renault,French,6.0,1,16,24535,Australian Grand Prix,Dry,
12,20781,841,808,4,6,3,3,15.0,58,01:30.1,211.969,Finished,petrov,9/8/1984,Russian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,renault,French,6.0,2,36,25683,Australian Grand Prix,Dry,
13,20782,841,4,6,5,4,4,12.0,58,01:29.5,213.336,Finished,alonso,7/29/1981,Spanish,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,ferrari,Italian,5.0,1,12,23251,Australian Grand Prix,Dry,
