,Unnamed: 0,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,name_x,date,circuitRef,location,country,constructorRef,nationality_y,position_quali,stop,lap,milliseconds,name,weather,SC Laps
1,1,20780,841,1,1,2,2,2,18.0,58,01:30.3,211.382,Finished,hamilton,1/7/1985,British,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,2.0,2,36,23199,Australian Grand Prix,Dry,
4,4,20784,841,18,1,4,6,6,8.0,58,01:29.9,212.396,Finished,button,1/19/1980,British,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,4.0,3,37,22681,Australian Grand Prix,Dry,
8,8,20794,841,22,3,17,R,16,0.0,48,01:31.4,208.861,Transmission,barrichello,5/23/1972,Brazilian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,williams,British,17.0,4,40,26309,Australian Grand Prix,Dry,
10,10,20790,841,2,4,18,12,12,0.0,57,01:32.4,206.661,+1 Lap,heidfeld,5/10/1977,German,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,renault,French,18.0,2,30,25098,Australian Grand Prix,Dry,
12,12,20781,841,808,4,6,3,3,15.0,58,01:30.1,211.969,Finished,petrov,9/8/1984,Russian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,renault,French,6.0,2,36,25683,Australian Grand Prix,Dry,
15,15,20782,841,4,6,5,4,4,12.0,58,01:29.5,213.336,Finished,alonso,7/29/1981,Spanish,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,ferrari,Italian,5.0,3,42,24181,Australian Grand Prix,Dry,
18,18,20785,841,13,6,8,7,7,6.0,58,01:28.9,214.631,Finished,massa,4/25/1981,Brazilian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,ferrari,Italian,8.0,3,48,24095,Australian Grand Prix,Dry,
21,21,20783,841,17,9,3,5,5,10.0,58,01:29.6,213.066,Finished,webber,8/27/1976,Australian,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,red_bull,Austrian,3.0,3,41,26230,Australian Grand Prix,Dry,
23,23,20779,841,20,9,1,1,1,25.0,58,01:29.8,212.488,Finished,vettel,7/3/1987,German,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,red_bull,Austrian,1.0,2,36,24036,Australian Grand Prix,Dry,
25,25,20786,841,67,5,10,8,8,4.0,57,01:30.8,210.167,+1 Lap,buemi,10/31/1988,Swiss,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,toro_rosso,Italian,10.0,2,29,23100,Australian Grand Prix,Dry,
28,28,20789,841,153,5,12,11,11,0.0,57,01:30.5,211.025,+1 Lap,alguersuari,3/23/1990,Spanish,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,toro_rosso,Italian,12.0,3,35,26348,Australian Grand Prix,Dry,
30,30,20787,841,16,10,16,9,9,2.0,57,01:31.5,208.583,+1 Lap,sutil,1/11/1983,German,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,force_india,Indian,16.0,2,37,23871,Australian Grand Prix,Dry,
32,32,20788,841,814,10,14,10,10,1.0,57,01:31.9,207.641,+1 Lap,resta,4/16/1986,British,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,force_india,Indian,14.0,2,36,24332,Australian Grand Prix,Dry,
33,33,20795,841,3,131,7,R,17,0.0,22,01:33.5,204.173,Collision,rosberg,6/27/1985,German,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,mercedes,German,7.0,1,16,23716,Australian Grand Prix,Dry,
35,35,20797,841,30,131,11,R,19,0.0,19,01:35.3,200.283,Collision,michael_schumacher,1/3/1969,German,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,mercedes,German,11.0,2,17,23988,Australian Grand Prix,Dry,
36,36,20796,841,5,205,19,R,18,0.0,19,01:34.9,201.129,Water leak,kovalainen,10/19/1981,Finnish,2011,1,Australian Grand Prix,3/27/2011,albert_park,Melbourne,Australia,lotus_racing,Malaysian,19.0,1,17,24865,Australian Grand Prix,Dry,
