,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,date,circuitRef,location,country,constructorRef,nationality_y,position_quali,stop,lap,milliseconds
0,20780,841,1,1,2,2,2,18.0,58,01:30.3,211.382,Finished,hamilton,1/7/1985,British,2011,1,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,2.0,1,16,23227
1,20780,841,1,1,2,2,2,18.0,58,01:30.3,211.382,Finished,hamilton,1/7/1985,British,2011,1,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,2.0,2,36,23199
2,20784,841,18,1,4,6,6,8.0,58,01:29.9,212.396,Finished,button,1/19/1980,British,2011,1,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,4.0,1,17,16867
3,20784,841,18,1,4,6,6,8.0,58,01:29.9,212.396,Finished,button,1/19/1980,British,2011,1,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,4.0,2,19,23303
4,20784,841,18,1,4,6,6,8.0,58,01:29.9,212.396,Finished,button,1/19/1980,British,2011,1,3/27/2011,albert_park,Melbourne,Australia,mclaren,British,4.0,3,37,22681
5,21234,860,1,1,1,3,3,15.0,58,01:29.5,213.214,Finished,hamilton,1/7/1985,British,2012,1,3/18/2012,albert_park,Melbourne,Australia,mclaren,British,1.0,1,17,22862
6,21234,860,1,1,1,3,3,15.0,58,01:29.5,213.214,Finished,hamilton,1/7/1985,British,2012,1,3/18/2012,albert_park,Melbourne,Australia,mclaren,British,1.0,2,36,23464
7,21232,860,18,1,2,1,1,25.0,58,01:29.2,214.053,Finished,button,1/19/1980,British,2012,1,3/18/2012,albert_park,Melbourne,Australia,mclaren,British,2.0,1,16,23275
8,21232,860,18,1,2,1,1,25.0,58,01:29.2,214.053,Finished,button,1/19/1980,British,2012,1,3/18/2012,albert_park,Melbourne,Australia,mclaren,British,2.0,2,36,22837
9,21720,880,18,1,10,9,9,2.0,58,01:30.2,211.654,Finished,button,1/19/1980,British,2013,1,3/17/2013,albert_park,Melbourne,Australia,mclaren,British,10.0,1,4,22282
10,21720,880,18,1,10,9,9,2.0,58,01:30.2,211.654,Finished,button,1/19/1980,British,2013,1,3/17/2013,albert_park,Melbourne,Australia,mclaren,British,10.0,2,20,23571
11,21720,880,18,1,10,9,9,2.0,58,01:30.2,211.654,Finished,button,1/19/1980,British,2013,1,3/17/2013,albert_park,Melbourne,Australia,mclaren,British,10.0,3,37,21538
12,21722,880,815,1,15,11,11,0.0,58,01:29.9,212.294,Finished,perez,1/26/1990,Mexican,2013,1,3/17/2013,albert_park,Melbourne,Australia,mclaren,British,15.0,1,16,23677
13,21722,880,815,1,15,11,11,0.0,58,01:29.9,212.294,Finished,perez,1/26/1990,Mexican,2013,1,3/17/2013,albert_park,Melbourne,Australia,mclaren,British,15.0,2,23,22004
14,21722,880,815,1,15,11,11,0.0,58,01:29.9,212.294,Finished,perez,1/26/1990,Mexican,2013,1,3/17/2013,albert_park,Melbourne,Australia,mclaren,British,15.0,3,41,21705
15,22548,926,18,1,16,11,11,0.0,56,01:33.3,204.534,+2 Laps,button,1/19/1980,British,2015,1,3/15/2015,albert_park,Melbourne,Australia,mclaren,British,17.0,1,27,23353
16,22937,948,4,1,11,R,21,0.0,16,01:32.6,206.268,Collision,alonso,7/29/1981,Spanish,2016,1,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,12.0,1,12,21796
17,22930,948,18,1,12,14,14,0.0,56,01:31.7,208.223,+1 Lap,button,1/19/1980,British,2016,1,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,13.0,1,15,22616
18,22930,948,18,1,12,14,14,0.0,56,01:31.7,208.223,+1 Lap,button,1/19/1980,British,2016,1,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,13.0,2,18,1084466
19,22930,948,18,1,12,14,14,0.0,56,01:31.7,208.223,+1 Lap,button,1/19/1980,British,2016,1,3/20/2016,albert_park,Melbourne,Australia,mclaren,British,13.0,3,30,21837
20,23392,969,4,1,12,R,14,0.0,50,01:30.1,211.938,Vibrations,alonso,7/29/1981,Spanish,2017,1,3/26/2017,albert_park,Melbourne,Australia,mclaren,British,13.0,1,16,22484
21,23391,969,838,1,18,13,13,0.0,55,01:29.4,213.448,+2 Laps,vandoorne,3/26/1992,Belgian,2017,1,3/26/2017,albert_park,Melbourne,Australia,mclaren,British,18.0,1,9,39562
22,23786,989,4,1,10,5,5,10.0,58,01:27.0,219.489,Finished,alonso,7/29/1981,Spanish,2018,1,3/25/2018,albert_park,Melbourne,Australia,mclaren,British,11.0,1,26,22573
23,23790,989,838,1,11,9,9,2.0,58,01:27.0,219.54,Finished,vandoorne,3/26/1992,Belgian,2018,1,3/25/2018,albert_park,Melbourne,Australia,mclaren,British,12.0,1,25,22474
24,24214,1010,846,1,8,12,12,0.0,57,01:28.6,215.581,+1 Lap,norris,11/13/1999,British,2019,1,3/17/2019,albert_park,Melbourne,Australia,mclaren,British,8.0,1,15,21627
25,22132,900,18,1,10,3,3,15.0,57,01:32.9,205.46,Finished,button,1/19/1980,British,2014,1,3/16/2014,albert_park,Melbourne,Australia,mclaren,British,11.0,1,11,22411
26,22132,900,18,1,10,3,3,15.0,57,01:32.9,205.46,Finished,button,1/19/1980,British,2014,1,3/16/2014,albert_park,Melbourne,Australia,mclaren,British,11.0,2,32,22399
